,t,"индекс ММВБ, пунктов",LKOH,SBER,GAZP,ValueTrade,USD,EUR,Оборот по USD,Оборот по EUR,USD/EUR
Jan-06,1,"1146,95","2071,99","91,93","221,99","25385876172,29","28,21","34,29","32345666522,86","170977660,86","0,82"
Feb-06,2,"1263,16","2228,62","95,84","223,04","31394269066,78","28,19","33,69","37952700582,32","304651740,15","0,84"
Mar-06,3,"1282,81","2220,95","101,79","236,62","26196116565,60","27,86","33,50","34563385218,15","273663080,47","0,83"
Apr-06,4,"1415,63","2455,01","106,54","304,58","41927442972,98","27,55","33,78","47517822959,96","418190835,89","0,82"
May-06,5,"1390,51","2291,52","101,13","274,12","55726563117,02","27,03","34,55","53877227439,23","420139104,16","0,78"
Jun-06,6,"1235,87","1989,29","92,95","270,12","49050228637,87","27,00","34,20","40225979712,96","261127607,62","0,79"
Jul-06,7,"1345,31","2274,46","102,54","280,39","37415322716,73","26,91","34,15","45679826034,84","405803942,04","0,79"
Aug-06,8,"1446,12","2342,28","102,72","304,99","45834531496,75","26,75","34,29","46880800433,24","635042798,14","0,78"
Sep-06,9,"1376,43","2116,47","106,44","287,25","40421292609,14","26,66","34,06","42382237360,40","568409638,40","0,78"
Oct-06,10,"1414,97","2102,43","98,83","292,22","39453105787,56","26,84","33,88","33716273653,87","538838920,46","0,79"
Nov-06,11,"1500,31","2261,70","107,13","297,65","42222901087,47","26,56","34,27","48279978533,85","953229844,59","0,77"
Dec-06,12,"1615,85","2314,38","84,80","295,69","43268855072,83","26,26","34,72","51220337896,71","1002955901,03","0,76"
Jan-07,13,"1631,57","2102,50","94,71","284,67","58939707462,15","26,54","34,38","34500139081,24","626967187,59","0,77"
Feb-07,14,"1696,80","2137,53","110,09","269,03","57692715642,91","26,30","34,41","53784519109,82","647693835,82","0,76"
Mar-07,15,"1631,28","2100,80","101,10","266,21","69022635177,21","26,10","34,58","68647285101,02","821120710,15","0,75"
Apr-07,16,"1729,76","2156,95","91,93","255,24","54483075302,13","25,82","34,91","64781073259,52","807506460,84","0,74"
May-07,17,"1624,20","1948,22","117,81","242,40","45252192743,97","25,84","34,90","81802807250,42","933027102,45","0,74"
Jun-07,18,"1644,56","1996,81","110,66","268,86","55665294226,15","25,90","34,79","52912615027,76","1000393332,44","0,74"
Jul-07,19,"1750,42","2092,29","103,99","279,19","60265114770,76","25,53","35,04","56906005113,42","1011727336,35","0,73"
Aug-07,20,"1659,52","1928,84","96,55","263,34","46196144096,68","25,63","34,92","63483911621,80","1046566593,49","0,73"
Sep-07,21,"1687,44","1963,11","98,18","278,58","43150300728,63","25,25","35,20","47419604110,56","1383335952,39","0,72"
Oct-07,22,"1815,36","2156,67","105,87","302,48","53714891347,91","24,88","35,41","72141115494,99","1950870419,95","0,70"
Nov-07,23,"1845,89","2165,01","103,41","326,04","62553878897,39","24,42","35,94","73628187240,58","1681927959,02","0,68"
Dec-07,24,"1908,32","2144,75","104,94","345,65","60866743051,46","24,58","35,79","78081050291,34","1529298513,66","0,69"
Jan-08,25,"1751,73","1840,00","97,15","302,24","70845352090,77","24,45","36,07","73464951405,19","1480155443,92","0,68"
Feb-08,26,"1667,39","1767,88","84,99","309,37","71244981735,32","24,46","36,14","66493944590,77","2535955339,94","0,68"
Mar-08,27,"1624,09","1806,45","75,56","298,29","53900129932,21","23,67","36,86","91118807307,17","3068080490,51","0,64"
Apr-08,28,"1665,53","2069,74","75,91","323,60","50557588971,21","23,53","37,04","113955244441,85","2817121542,93","0,64"
May-08,29,"1855,90","2493,16","84,30","352,10","70830782884,25","23,72","36,92","90717489500,35","6169056875,93","0,64"
Jun-08,30,"1822,76","2411,90","78,81","330,53","45204689771,34","23,61","36,83","84320461772,71","4348152862,52","0,64"
Jul-08,31,"1612,66","2121,39","72,91","275,74","46738395447,55","23,35","36,80","90688662072,30","7757277902,21","0,63"
Aug-08,32,"1396,92","1851,79","62,07","234,10","45912895651,93","24,28","36,23","87241711387,63","6526198459,87","0,67"
Sep-08,33,"1117,91","1613,52","47,05","176,00","37256608464,76","25,36","36,39","105585344554,25","5927472377,39","0,70"
Oct-08,34,"692,49","1006,83","30,39","115,85","20701932404,50","26,52","35,12","132107350468,32","9902428866,93","0,76"
Nov-08,35,"629,53","899,10","24,73","109,23","25145804184,23","27,38","34,86","128317670609,31","9085118300,37","0,79"
Dec-08,36,"613,71","956,35","22,40","417,92","20928469028,67","27,07","36,62","154312167682,60","24801813814,13","0,71"
Jan-09,37,"606,29","1071,81","17,94","1071,81","21117458731,05","33,07","43,26","64874930216,19","8862950810,28","1,31"
Feb-09,38,"663,31","1292,50","19,59","1292,50","31744516395,25","35,08","45,50","39872277155,63","5021343988,01","1,30"
Mar-09,39,"756,54","1520,83","29,35","1520,83","43173694927,87","33,00","43,80","28254311054,99","2879571200,30","1,33"
