Effect;reklama
64;Реклама1
62;Реклама1
42;Реклама1
65;Реклама1
66;Реклама1
44;Реклама1
63;Реклама1
65;Реклама1
71;Реклама1
60;Реклама1
61;Реклама1
62;Реклама1
62;Реклама1
64;Реклама1
62;Реклама1
51;Реклама1
77;Реклама1
62;Реклама1
69;Реклама1
78;Реклама1
61;Реклама1
68;Реклама1
63;Реклама1
78;Реклама1
63;Реклама1
63;Реклама1
61;Реклама1
62;Реклама1
61;Реклама1
64;Реклама1
71;Реклама1
44;Реклама2
65;Реклама2
89;Реклама2
49;Реклама2
67;Реклама2
68;Реклама2
95;Реклама2
75;Реклама2
69;Реклама2
69;Реклама2
65;Реклама2
91;Реклама2
71;Реклама2
71;Реклама2
67;Реклама2
78;Реклама2
68;Реклама2
71;Реклама2
65;Реклама2
43;Реклама2
70;Реклама2
66;Реклама2
65;Реклама2
68;Реклама2
67;Реклама2
70;Реклама2
54;Реклама2
56;Реклама3
35;Реклама3
82;Реклама3
56;Реклама3
53;Реклама3
52;Реклама3
51;Реклама3
39;Реклама3
66;Реклама3
52;Реклама3
55;Реклама3
56;Реклама3
71;Реклама3
55;Реклама3
55;Реклама3
51;Реклама3
53;Реклама3
47;Реклама3
47;Реклама3
51;Реклама3
54;Реклама3
51;Реклама3
50;Реклама3
55;Реклама3
64;Реклама3
51;Реклама3
56;Реклама3
33;Реклама3
54;Реклама3
50;Реклама3
55;Реклама3
52;Реклама3
